,Disease,Count of Disease Occurrence,Symptom,Diease_Code,Symptom_Code
333,UMLS:C0017168_gastroesophageal reflux disease,325.0,UMLS:C0030193_pain,UMLS:C0017168,UMLS:C0030193
334,,,UMLS:C0008031_pain chest,UMLS:C0017168,UMLS:C0008031
335,,,UMLS:C0085624_burning sensation,UMLS:C0017168,UMLS:C0085624
336,,,UMLS:C0020625_hyponatremia,UMLS:C0017168,UMLS:C0020625
337,,,UMLS:C0239233_satiety early,UMLS:C0017168,UMLS:C0239233
338,,,UMLS:C1444773_throbbing sensation quality,UMLS:C0017168,UMLS:C1444773
339,,,UMLS:C0232292_chest tightness,UMLS:C0017168,UMLS:C0232292
340,,,UMLS:C0234215_sensory discomfort,UMLS:C0017168,UMLS:C0234215
341,,,UMLS:C1305739_presence of q wave,UMLS:C0017168,UMLS:C1305739
342,,,UMLS:C0027497_nausea,UMLS:C0017168,UMLS:C0027497
343,,,UMLS:C0858924_general discomfort,UMLS:C0017168,UMLS:C0858924
344,,,UMLS:C0009806_constipation,UMLS:C0017168,UMLS:C0009806
345,,,UMLS:C0030252_palpitation,UMLS:C0017168,UMLS:C0030252
346,,,UMLS:C0000737_pain abdominal,UMLS:C0017168,UMLS:C0000737
347,,,UMLS:C0018834_heartburn,UMLS:C0017168,UMLS:C0018834
348,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0017168,UMLS:C0038990
349,,,UMLS:C0004093_asthenia,UMLS:C0017168,UMLS:C0004093
350,UMLS:C0036690_septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311.0,UMLS:C0015967_fever,UMLS:C0036690,UMLS:C0015967
351,,,UMLS:C0476273_distress respiratory,UMLS:C0036690,UMLS:C0476273
352,,,UMLS:C0020649_hypotension,UMLS:C0036690,UMLS:C0020649
353,,,UMLS:C0231835_tachypnea,UMLS:C0036690,UMLS:C0231835
354,,,UMLS:C0085593_chill,UMLS:C0036690,UMLS:C0085593
355,,,UMLS:C0023380_lethargy,UMLS:C0036690,UMLS:C0023380
356,,,UMLS:C0428977_bradycardia,UMLS:C0036690,UMLS:C0428977
357,,,UMLS:C0006157_breech presentation,UMLS:C0036690,UMLS:C0006157
358,,,UMLS:C0010520_cyanosis,UMLS:C0036690,UMLS:C0010520
359,,,UMLS:C0233308_spontaneous rupture of membranes,UMLS:C0036690,UMLS:C0233308
360,,,UMLS:C0019080_haemorrhage,UMLS:C0036690,UMLS:C0019080
361,,,UMLS:C0241526_unresponsiveness,UMLS:C0036690,UMLS:C0241526
362,,,UMLS:C0034642_rale,UMLS:C0036690,UMLS:C0034642
363,,,UMLS:C0277797_apyrexial,UMLS:C0036690,UMLS:C0277797
364,UMLS:C0149871_deep vein thrombosis,310.0,UMLS:C0038999_swelling,UMLS:C0149871,UMLS:C0038999
365,,,UMLS:C0030193_pain,UMLS:C0149871,UMLS:C0030193
366,,,UMLS:C0013491_ecchymosis,UMLS:C0149871,UMLS:C0013491
367,,,UMLS:C0392680_shortness of breath,UMLS:C0149871,UMLS:C0392680
368,,,UMLS:C0023222_pain in lower limb,UMLS:C0149871,UMLS:C0023222
369,,,UMLS:C0018800_cardiomegaly,UMLS:C0149871,UMLS:C0018800
370,,,UMLS:C0034642_rale,UMLS:C0149871,UMLS:C0034642
371,,,UMLS:C0041834_erythema,UMLS:C0149871,UMLS:C0041834
372,,,UMLS:C0020649_hypotension,UMLS:C0149871,UMLS:C0020649
373,,,UMLS:C0009024_clonus,UMLS:C0149871,UMLS:C0009024
374,,,UMLS:C0850149_non-productive cough,UMLS:C0149871,UMLS:C0850149
375,,,UMLS:C0332575_redness,UMLS:C0149871,UMLS:C0332575
376,UMLS:C0011175_dehydration,297.0,UMLS:C0015967_fever,UMLS:C0011175,UMLS:C0015967
377,,,UMLS:C0011991_diarrhea,UMLS:C0011175,UMLS:C0011991
378,,,UMLS:C0042963_vomiting,UMLS:C0011175,UMLS:C0042963
379,,,UMLS:C0020649_hypotension,UMLS:C0011175,UMLS:C0020649
380,,,UMLS:C0027497_nausea,UMLS:C0011175,UMLS:C0027497
381,,,UMLS:C0220870_lightheadedness,UMLS:C0011175,UMLS:C0220870
382,,,UMLS:C0857256_unwell,UMLS:C0011175,UMLS:C0857256
383,,,UMLS:C0856054_mental status changes,UMLS:C0011175,UMLS:C0856054
384,,,UMLS:C0003123_anorexia,UMLS:C0011175,UMLS:C0003123
385,,,UMLS:C0004093_asthenia,UMLS:C0011175,UMLS:C0004093
386,,,UMLS:C0234215_sensory discomfort,UMLS:C0011175,UMLS:C0234215
387,,,UMLS:C0039070_syncope,UMLS:C0011175,UMLS:C0039070
388,,,UMLS:C0023380_lethargy,UMLS:C0011175,UMLS:C0023380
389,,,UMLS:C0012833_dizziness,UMLS:C0011175,UMLS:C0012833
390,,,UMLS:C0039070_syncope^UMLS:C0312422_blackout^UMLS:C0424533_history of - blackout,UMLS:C0011175,UMLS:C0039070
391,UMLS:C0027651_neoplasm,297.0,UMLS:C0577559_mass of body structure,UMLS:C0027651,UMLS:C0577559
392,,,UMLS:C0221198_lesion,UMLS:C0027651,UMLS:C0221198
393,,,UMLS:C0008031_pain chest,UMLS:C0027651,UMLS:C0008031
394,,,UMLS:C0018965_hematuria,UMLS:C0027651,UMLS:C0018965
395,,,UMLS:C1269955_tumor cell invasion,UMLS:C0027651,UMLS:C1269955
396,,,UMLS:C0030193_pain,UMLS:C0027651,UMLS:C0030193
397,,,UMLS:C0003126_anosmia,UMLS:C0027651,UMLS:C0003126
398,,,UMLS:C0205400_thicken,UMLS:C0027651,UMLS:C0205400
399,,,UMLS:C1513183_metastatic lesion,UMLS:C0027651,UMLS:C1513183
400,,,UMLS:C0149696_food intolerance,UMLS:C0027651,UMLS:C0149696
401,,,UMLS:C0043096_decreased body weight,UMLS:C0027651,UMLS:C0043096
402,,,UMLS:C0028081_night sweat,UMLS:C0027651,UMLS:C0028081
403,,,UMLS:C0271202_hemianopsia homonymous,UMLS:C0027651,UMLS:C0271202
404,,,UMLS:C0239233_satiety early,UMLS:C0027651,UMLS:C0239233
405,,,UMLS:C0000737_pain abdominal,UMLS:C0027651,UMLS:C0000737
406,,,UMLS:C0018681_headache,UMLS:C0027651,UMLS:C0018681
407,UMLS:C0034065_embolism pulmonary,294.0,UMLS:C0392680_shortness of breath,UMLS:C0034065,UMLS:C0392680
408,,,UMLS:C0700292_hypoxemia,UMLS:C0034065,UMLS:C0700292
409,,,UMLS:C0231835_tachypnea,UMLS:C0034065,UMLS:C0231835
410,,,UMLS:C0744727_hematocrit decreased,UMLS:C0034065,UMLS:C0744727
411,,,UMLS:C0008031_pain chest,UMLS:C0034065,UMLS:C0008031
412,,,UMLS:C0013404_dyspnea,UMLS:C0034065,UMLS:C0013404
413,,,UMLS:C0008033_pleuritic pain,UMLS:C0034065,UMLS:C0008033
414,,,UMLS:C0151315_neck stiffness,UMLS:C0034065,UMLS:C0151315
415,,,UMLS:C0457096_yellow sputum,UMLS:C0034065,UMLS:C0457096
416,,,UMLS:C0239134_productive cough,UMLS:C0034065,UMLS:C0239134
417,,,UMLS:C0008767_cicatrisation,UMLS:C0034065,UMLS:C0008767
418,,,UMLS:C0241526_unresponsiveness,UMLS:C0034065,UMLS:C0241526
419,,,UMLS:C0476273_distress respiratory,UMLS:C0034065,UMLS:C0476273
420,,,UMLS:C0043144_wheezing,UMLS:C0034065,UMLS:C0043144
421,,,UMLS:C0277797_apyrexial,UMLS:C0034065,UMLS:C0277797
422,,,UMLS:C0850149_non-productive cough,UMLS:C0034065,UMLS:C0850149
423,UMLS:C0014544_epilepsy,290.0,UMLS:C0036572_seizure,UMLS:C0014544,UMLS:C0036572
424,,,UMLS:C0347938_hypometabolism,UMLS:C0014544,UMLS:C0347938
425,,,UMLS:C0236018_aura,UMLS:C0014544,UMLS:C0236018
426,,,UMLS:C0231530_muscle twitch,UMLS:C0014544,UMLS:C0231530
427,,,UMLS:C0013144_drowsiness,UMLS:C0014544,UMLS:C0013144
428,,,UMLS:C0040822_tremor,UMLS:C0014544,UMLS:C0040822
429,,,UMLS:C0241526_unresponsiveness,UMLS:C0014544,UMLS:C0241526
430,,,UMLS:C0018991_hemiplegia,UMLS:C0014544,UMLS:C0018991
431,,,UMLS:C0027066_myoclonus,UMLS:C0014544,UMLS:C0027066
432,,,UMLS:C0232517_gurgle,UMLS:C0014544,UMLS:C0232517
433,,,UMLS:C0234450_sleepy,UMLS:C0014544,UMLS:C0234450
434,,,UMLS:C0023380_lethargy,UMLS:C0014544,UMLS:C0023380
435,,,UMLS:C0558195_wheelchair bound,UMLS:C0014544,UMLS:C0558195
436,UMLS:C0878544_cardiomyopathy,283.0,UMLS:C0392680_shortness of breath,UMLS:C0878544,UMLS:C0392680
437,,,UMLS:C0085619_orthopnea,UMLS:C0878544,UMLS:C0085619
438,,,UMLS:C0086439_hypokinesia,UMLS:C0878544,UMLS:C0086439
439,,,UMLS:C0240100_jugular venous distention,UMLS:C0878544,UMLS:C0240100
440,,,UMLS:C0030252_palpitation,UMLS:C0878544,UMLS:C0030252
441,,,UMLS:C0008031_pain chest,UMLS:C0878544,UMLS:C0008031
442,,,UMLS:C0039070_syncope,UMLS:C0878544,UMLS:C0039070
443,,,UMLS:C0457096_yellow sputum,UMLS:C0878544,UMLS:C0457096
444,,,UMLS:C0034642_rale,UMLS:C0878544,UMLS:C0034642
445,,,UMLS:C0013404_dyspnea,UMLS:C0878544,UMLS:C0013404
446,,,UMLS:C0231807_dyspnea on exertion,UMLS:C0878544,UMLS:C0231807
447,,,UMLS:C0238705_left atrial hypertrophy,UMLS:C0878544,UMLS:C0238705
448,,,UMLS:C0015672_fatigue,UMLS:C0878544,UMLS:C0015672
449,,,UMLS:C0043094_weight gain,UMLS:C0878544,UMLS:C0043094
450,,,UMLS:C0376405_patient non compliance,UMLS:C0878544,UMLS:C0376405
451,UMLS:C0022661_chronic kidney failure,280.0,UMLS:C0042963_vomiting,UMLS:C0022661,UMLS:C0042963
452,,,UMLS:C0085619_orthopnea,UMLS:C0022661,UMLS:C0085619
453,,,UMLS:C0020461_hyperkalemia,UMLS:C0022661,UMLS:C0020461
454,,,UMLS:C0028961_oliguria,UMLS:C0022661,UMLS:C0028961
455,,,UMLS:C0240100_jugular venous distention,UMLS:C0022661,UMLS:C0240100
456,,,UMLS:C0027497_nausea,UMLS:C0022661,UMLS:C0027497
457,,,UMLS:C0392680_shortness of breath,UMLS:C0022661,UMLS:C0392680
458,,,UMLS:C0856054_mental status changes,UMLS:C0022661,UMLS:C0856054
459,,,UMLS:C0011991_diarrhea,UMLS:C0022661,UMLS:C0011991
460,,,UMLS:C0004093_asthenia,UMLS:C0022661,UMLS:C0004093
461,,,UMLS:C0232292_chest tightness,UMLS:C0022661,UMLS:C0232292
462,,,UMLS:C0231218_malaise,UMLS:C0022661,UMLS:C0231218
463,,,UMLS:C0085593_chill,UMLS:C0022661,UMLS:C0085593
464,,,UMLS:C0034642_rale,UMLS:C0022661,UMLS:C0034642
465,,,UMLS:C0015967_fever,UMLS:C0022661,UMLS:C0015967
466,,,UMLS:C0008033_pleuritic pain,UMLS:C0022661,UMLS:C0008033
467,,,UMLS:C0277797_apyrexial,UMLS:C0022661,UMLS:C0277797
468,,,UMLS:C0744492_guaiac positive,UMLS:C0022661,UMLS:C0744492
469,,,UMLS:C0038999_swelling,UMLS:C0022661,UMLS:C0038999
470,,,UMLS:C0007398_catatonia,UMLS:C0022661,UMLS:C0007398
471,,,UMLS:C0241526_unresponsiveness,UMLS:C0022661,UMLS:C0241526
472,,,UMLS:C0457096_yellow sputum,UMLS:C0022661,UMLS:C0457096
473,UMLS:C0007097_carcinoma,269.0,UMLS:C0577559_mass of body structure,UMLS:C0007097,UMLS:C0577559
474,,,UMLS:C0030193_pain,UMLS:C0007097,UMLS:C0030193
475,,,UMLS:C0221198_lesion,UMLS:C0007097,UMLS:C0221198
476,,,UMLS:C1269955_tumor cell invasion,UMLS:C0007097,UMLS:C1269955
477,,,UMLS:C0205400_thicken,UMLS:C0007097,UMLS:C0205400
478,,,UMLS:C0043096_decreased body weight,UMLS:C0007097,UMLS:C0043096
479,,,UMLS:C0019825_hoarseness,UMLS:C0007097,UMLS:C0019825
480,,,UMLS:C0858924_general discomfort,UMLS:C0007097,UMLS:C0858924
481,,,UMLS:C1513183_metastatic lesion,UMLS:C0007097,UMLS:C1513183
482,,,UMLS:C0850149_non-productive cough,UMLS:C0007097,UMLS:C0850149
483,,,UMLS:C0009806_constipation,UMLS:C0007097,UMLS:C0009806
484,,,UMLS:C0847488_unhappy,UMLS:C0007097,UMLS:C0847488
485,,,UMLS:C0030554_paresthesia,UMLS:C0007097,UMLS:C0030554
486,,,UMLS:C0232995_gravida 0,UMLS:C0007097,UMLS:C0232995
487,,,UMLS:C0011991_diarrhea,UMLS:C0007097,UMLS:C0011991
488,,,UMLS:C0234233_sore to touch,UMLS:C0007097,UMLS:C0234233
489,,,UMLS:C0018834_heartburn,UMLS:C0007097,UMLS:C0018834
490,,,UMLS:C0027497_nausea,UMLS:C0007097,UMLS:C0027497
491,,,UMLS:C0034079_lung nodule,UMLS:C0007097,UMLS:C0034079
492,UMLS:C0019196_hepatitis C,269.0,UMLS:C0003962_ascites,UMLS:C0019196,UMLS:C0003962
493,,,UMLS:C0000731_distended abdomen,UMLS:C0019196,UMLS:C0000731
494,,,UMLS:C0424000_feeling suicidal,UMLS:C0019196,UMLS:C0424000
495,,,UMLS:C0010200_cough,UMLS:C0019196,UMLS:C0010200
496,,,UMLS:C0234238_ache,UMLS:C0019196,UMLS:C0234238
497,,,UMLS:C0558143_macerated skin,UMLS:C0019196,UMLS:C0558143
498,,,UMLS:C0581912_heavy feeling,UMLS:C0019196,UMLS:C0581912
499,,,UMLS:C0233762_hallucinations auditory,UMLS:C0019196,UMLS:C0233762
500,,,UMLS:C0085593_chill,UMLS:C0019196,UMLS:C0085593
501,,,UMLS:C0232766_asterixis,UMLS:C0019196,UMLS:C0232766
502,,,UMLS:C0376405_patient non compliance,UMLS:C0019196,UMLS:C0376405
503,UMLS:C0085096_peripheral vascular disease,268.0,UMLS:C0392680_shortness of breath,UMLS:C0085096,UMLS:C0392680
504,,,UMLS:C0234253_rest pain,UMLS:C0085096,UMLS:C0234253
505,,,UMLS:C0002962_angina pectoris,UMLS:C0085096,UMLS:C0002962
506,,,UMLS:C0241526_unresponsiveness,UMLS:C0085096,UMLS:C0241526
507,,,UMLS:C0020461_hyperkalemia,UMLS:C0085096,UMLS:C0020461
508,,,UMLS:C0232201_sinus rhythm,UMLS:C0085096,UMLS:C0232201
509,,,UMLS:C0553668_labored breathing,UMLS:C0085096,UMLS:C0553668
510,,,UMLS:C0013404_dyspnea,UMLS:C0085096,UMLS:C0013404
511,,,UMLS:C0234233_sore to touch,UMLS:C0085096,UMLS:C0234233
512,,,UMLS:C0003123_anorexia,UMLS:C0085096,UMLS:C0003123
513,,,UMLS:C0234450_sleepy,UMLS:C0085096,UMLS:C0234450
514,UMLS:C0033975_psychotic disorder,267.0,UMLS:C0438696_suicidal,UMLS:C0033975,UMLS:C0438696
515,,,UMLS:C0233762_hallucinations auditory,UMLS:C0033975,UMLS:C0233762
516,,,UMLS:C0424000_feeling suicidal,UMLS:C0033975,UMLS:C0424000
517,,,UMLS:C0233763_hallucinations visual,UMLS:C0033975,UMLS:C0233763
518,,,UMLS:C0424230_motor retardation,UMLS:C0033975,UMLS:C0424230
519,,,UMLS:C0312422_blackout,UMLS:C0033975,UMLS:C0312422
520,,,UMLS:C0424068_verbal auditory hallucinations,UMLS:C0033975,UMLS:C0424068
521,,,UMLS:C0150041_feeling hopeless,UMLS:C0033975,UMLS:C0150041
522,,,UMLS:C0022107_irritable mood,UMLS:C0033975,UMLS:C0022107
523,,,UMLS:C0085631_agitation,UMLS:C0033975,UMLS:C0085631
524,,,UMLS:C0040822_tremor,UMLS:C0033975,UMLS:C0040822
525,,,UMLS:C0007398_catatonia,UMLS:C0033975,UMLS:C0007398
526,,,UMLS:C0424109_weepiness,UMLS:C0033975,UMLS:C0424109
527,,,UMLS:C0237154_homelessness,UMLS:C0033975,UMLS:C0237154
528,,,UMLS:C0917801_sleeplessness,UMLS:C0033975,UMLS:C0917801
529,,,UMLS:C0424092_withdraw,UMLS:C0033975,UMLS:C0424092
530,,,UMLS:C0455769_energy increased,UMLS:C0033975,UMLS:C0455769
531,,,UMLS:C0728899_intoxication,UMLS:C0033975,UMLS:C0728899
532,,,UMLS:C0233481_worry,UMLS:C0033975,UMLS:C0233481
533,,,UMLS:C0424295_behavior hyperactive,UMLS:C0033975,UMLS:C0424295
534,,,UMLS:C0376405_patient non compliance,UMLS:C0033975,UMLS:C0376405
535,,,UMLS:C0344315_mood depressed,UMLS:C0033975,UMLS:C0344315
536,,,UMLS:C0558261_terrify,UMLS:C0033975,UMLS:C0558261
537,,,UMLS:C0028084_nightmare,UMLS:C0033975,UMLS:C0028084
538,,,UMLS:C0239110_consciousness clear,UMLS:C0033975,UMLS:C0239110
539,UMLS:C0020473_hyperlipidemia,247.0,UMLS:C0008031_pain chest,UMLS:C0020473,UMLS:C0008031
540,,,UMLS:C0002962_angina pectoris,UMLS:C0020473,UMLS:C0002962
541,,,UMLS:C0030252_palpitation,UMLS:C0020473,UMLS:C0030252
542,,,UMLS:C1305739_presence of q wave,UMLS:C0020473,UMLS:C1305739
543,,,UMLS:C0085635_photopsia,UMLS:C0020473,UMLS:C0085635
544,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0020473,UMLS:C0038990
545,,,UMLS:C0235710_chest discomfort,UMLS:C0020473,UMLS:C0235710
546,,,UMLS:C0392680_shortness of breath,UMLS:C0020473,UMLS:C0392680
547,,,UMLS:C0392701_giddy mood,UMLS:C0020473,UMLS:C0392701
548,,,UMLS:C0086439_hypokinesia,UMLS:C0020473,UMLS:C0086439
549,,,UMLS:C0018991_hemiplegia,UMLS:C0020473,UMLS:C0018991
550,,,UMLS:C0012833_dizziness,UMLS:C0020473,UMLS:C0012833
551,UMLS:C0005586_bipolar disorder,241.0,UMLS:C0424000_feeling suicidal,UMLS:C0005586,UMLS:C0424000
552,,,UMLS:C0455769_energy increased,UMLS:C0005586,UMLS:C0455769
553,,,UMLS:C0438696_suicidal,UMLS:C0005586,UMLS:C0438696
554,,,UMLS:C0022107_irritable mood,UMLS:C0005586,UMLS:C0022107
555,,,UMLS:C0085631_agitation,UMLS:C0005586,UMLS:C0085631
556,,,UMLS:C0557075_has religious belief,UMLS:C0005586,UMLS:C0557075
557,,,UMLS:C0578859_disturbed family,UMLS:C0005586,UMLS:C0578859
558,,,UMLS:C0233762_hallucinations auditory,UMLS:C0005586,UMLS:C0233762
559,,,UMLS:C0424068_verbal auditory hallucinations,UMLS:C0005586,UMLS:C0424068
560,,,UMLS:C0424109_weepiness,UMLS:C0005586,UMLS:C0424109
561,,,UMLS:C0424295_behavior hyperactive,UMLS:C0005586,UMLS:C0424295
562,,,UMLS:C0007398_catatonia,UMLS:C0005586,UMLS:C0007398
563,,,UMLS:C0150041_feeling hopeless,UMLS:C0005586,UMLS:C0150041
564,,,UMLS:C0233481_worry,UMLS:C0005586,UMLS:C0233481
565,,,UMLS:C0917801_sleeplessness,UMLS:C0005586,UMLS:C0917801
566,,,UMLS:C0917799_hypersomnia,UMLS:C0005586,UMLS:C0917799
567,,,UMLS:C1299586_difficulty,UMLS:C0005586,UMLS:C1299586
568,,,UMLS:C0233763_hallucinations visual,UMLS:C0005586,UMLS:C0233763
569,,,UMLS:C0020458_hyperhidrosis disorder,UMLS:C0005586,UMLS:C0020458
570,,,UMLS:C0026961_mydriasis,UMLS:C0005586,UMLS:C0026961
571,,,UMLS:C0234133_extrapyramidal sign,UMLS:C0005586,UMLS:C0234133
572,,,UMLS:C0240233_loose associations,UMLS:C0005586,UMLS:C0240233
573,,,UMLS:C0728899_intoxication,UMLS:C0005586,UMLS:C0728899
574,,,UMLS:C0424230_motor retardation,UMLS:C0005586,UMLS:C0424230
575,,,UMLS:C0237154_homelessness,UMLS:C0005586,UMLS:C0237154
576,,,UMLS:C0312422_blackout,UMLS:C0005586,UMLS:C0312422
577,,,UMLS:C0040822_tremor,UMLS:C0005586,UMLS:C0040822
578,,,UMLS:C0392674_exhaustion,UMLS:C0005586,UMLS:C0392674
579,UMLS:C0028754_obesity,228.0,UMLS:C0030193_pain,UMLS:C0028754,UMLS:C0030193
580,,,UMLS:C0007398_catatonia,UMLS:C0028754,UMLS:C0007398
581,,,UMLS:C0037384_snore,UMLS:C0028754,UMLS:C0037384
582,,,UMLS:C0008031_pain chest,UMLS:C0028754,UMLS:C0008031
583,,,UMLS:C0429091_r wave feature,UMLS:C0028754,UMLS:C0429091
584,,,UMLS:C0557075_has religious belief,UMLS:C0028754,UMLS:C0557075
585,,,UMLS:C0392680_shortness of breath,UMLS:C0028754,UMLS:C0392680
586,,,UMLS:C0015672_fatigue^UMLS:C0557875_tired,UMLS:C0028754,UMLS:C0015672
587,,,UMLS:C0497406_overweight,UMLS:C0028754,UMLS:C0497406
588,,,UMLS:C0232257_systolic murmur,UMLS:C0028754,UMLS:C0232257
589,,,UMLS:C0344315_mood depressed,UMLS:C0028754,UMLS:C0344315
590,,,UMLS:C0013491_ecchymosis,UMLS:C0028754,UMLS:C0013491
591,UMLS:C0022116_ischemia,226.0,UMLS:C0013144_drowsiness^UMLS:C0234450_sleepy,UMLS:C0022116,UMLS:C0013144
592,,,UMLS:C0008031_pain chest,UMLS:C0022116,UMLS:C0008031
593,,,UMLS:C0002962_angina pectoris,UMLS:C0022116,UMLS:C0002962
594,,,UMLS:C0438716_pressure chest,UMLS:C0022116,UMLS:C0438716
595,,,UMLS:C0235710_chest discomfort,UMLS:C0022116,UMLS:C0235710
596,,,UMLS:C0392680_shortness of breath,UMLS:C0022116,UMLS:C0392680
597,,,UMLS:C0013404_dyspnea,UMLS:C0022116,UMLS:C0013404
598,,,UMLS:C0232201_sinus rhythm,UMLS:C0022116,UMLS:C0232201
599,,,UMLS:C0428977_bradycardia,UMLS:C0022116,UMLS:C0428977
600,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0022116,UMLS:C0038990
601,,,UMLS:C0034642_rale,UMLS:C0022116,UMLS:C0034642
602,,,UMLS:C0231221_asymptomatic,UMLS:C0022116,UMLS:C0231221
603,,,UMLS:C0003123_anorexia,UMLS:C0022116,UMLS:C0003123
604,UMLS:C1623038_cirrhosis,218.0,UMLS:C0003962_ascites,UMLS:C1623038,UMLS:C0003962
605,,,UMLS:C0085639_fall,UMLS:C1623038,UMLS:C0085639
606,,,UMLS:C0038002_splenomegaly,UMLS:C1623038,UMLS:C0038002
607,,,UMLS:C0033774_pruritus,UMLS:C1623038,UMLS:C0033774
608,,,UMLS:C0000737_pain abdominal,UMLS:C1623038,UMLS:C0000737
609,,,UMLS:C1269955_tumor cell invasion,UMLS:C1623038,UMLS:C1269955
610,,,UMLS:C0000731_distended abdomen,UMLS:C1623038,UMLS:C0000731
611,,,UMLS:C0221198_lesion,UMLS:C1623038,UMLS:C0221198
612,,,UMLS:C0578150_hemodynamically stable,UMLS:C1623038,UMLS:C0578150
613,,,UMLS:C0744492_guaiac positive,UMLS:C1623038,UMLS:C0744492
614,,,UMLS:C0234233_sore to touch,UMLS:C1623038,UMLS:C0234233
615,,,UMLS:C0151706_bleeding of vagina,UMLS:C1623038,UMLS:C0151706
616,UMLS:C0015230_exanthema,208.0,UMLS:C0015967_fever,UMLS:C0015230,UMLS:C0015967
617,,,UMLS:C0033774_pruritus,UMLS:C0015230,UMLS:C0033774
618,,,UMLS:C0332573_macule,UMLS:C0015230,UMLS:C0332573
619,,,UMLS:C0221198_lesion,UMLS:C0015230,UMLS:C0221198
620,,,UMLS:C0332575_redness,UMLS:C0015230,UMLS:C0332575
621,,,UMLS:C0018681_headache,UMLS:C0015230,UMLS:C0018681
622,,,UMLS:C0277797_apyrexial,UMLS:C0015230,UMLS:C0277797
623,,,UMLS:C0003862_arthralgia,UMLS:C0015230,UMLS:C0003862
624,,,UMLS:C0038999_swelling,UMLS:C0015230,UMLS:C0038999
625,,,UMLS:C0041834_erythema,UMLS:C0015230,UMLS:C0041834
626,,,UMLS:C0085636_photophobia,UMLS:C0015230,UMLS:C0085636
627,,,UMLS:C0085593_chill,UMLS:C0015230,UMLS:C0085593
628,,,UMLS:C1384489_scratch marks,UMLS:C0015230,UMLS:C1384489
629,,,UMLS:C0030193_pain,UMLS:C0015230,UMLS:C0030193
630,,,UMLS:C0221150_painful swallowing,UMLS:C0015230,UMLS:C0221150
631,UMLS:C0005001_benign prostatic hypertrophy,192.0,UMLS:C0856054_mental status changes,UMLS:C0005001,UMLS:C0856054
632,,,UMLS:C0006625_cachexia,UMLS:C0005001,UMLS:C0006625
633,,,UMLS:C0312422_blackout,UMLS:C0005001,UMLS:C0312422
634,,,UMLS:C0149746_orthostasis,UMLS:C0005001,UMLS:C0149746
635,,,UMLS:C0085619_orthopnea,UMLS:C0005001,UMLS:C0085619
636,,,UMLS:C0028081_night sweat,UMLS:C0005001,UMLS:C0028081
637,,,UMLS:C0476273_distress respiratory,UMLS:C0005001,UMLS:C0476273
638,,,UMLS:C0003123_anorexia,UMLS:C0005001,UMLS:C0003123
639,,,UMLS:C0013362_dysarthria,UMLS:C0005001,UMLS:C0013362
640,UMLS:C0022660_kidney failure acute,186.0,UMLS:C0020461_hyperkalemia,UMLS:C0022660,UMLS:C0020461
641,,,UMLS:C0020649_hypotension,UMLS:C0022660,UMLS:C0020649
642,,,UMLS:C0020598_hypocalcemia result,UMLS:C0022660,UMLS:C0020598
643,,,UMLS:C0028961_oliguria,UMLS:C0022660,UMLS:C0028961
644,,,UMLS:C0578150_hemodynamically stable,UMLS:C0022660,UMLS:C0578150
645,,,UMLS:C0004093_asthenia,UMLS:C0022660,UMLS:C0004093
646,,,"UMLS:C0020672_hypothermia, natural",UMLS:C0022660,UMLS:C0020672
647,,,UMLS:C0011991_diarrhea,UMLS:C0022660,UMLS:C0011991
648,,,UMLS:C0019080_haemorrhage,UMLS:C0022660,UMLS:C0019080
649,,,UMLS:C0241526_unresponsiveness,UMLS:C0022660,UMLS:C0241526
650,UMLS:C0026266_mitral valve insufficiency,186.0,UMLS:C0392680_shortness of breath,UMLS:C0026266,UMLS:C0392680
651,,,UMLS:C0231807_dyspnea on exertion,UMLS:C0026266,UMLS:C0231807
652,,,UMLS:C0231221_asymptomatic,UMLS:C0026266,UMLS:C0231221
653,,,UMLS:C0086439_hypokinesia,UMLS:C0026266,UMLS:C0086439
654,,,UMLS:C0013404_dyspnea,UMLS:C0026266,UMLS:C0013404
655,,,UMLS:C0039070_syncope,UMLS:C0026266,UMLS:C0039070
656,,,UMLS:C0205400_thicken,UMLS:C0026266,UMLS:C0205400
657,,,UMLS:C0238705_left atrial hypertrophy,UMLS:C0026266,UMLS:C0238705
658,,,UMLS:C0030252_palpitation,UMLS:C0026266,UMLS:C0030252
659,,,UMLS:C0015672_fatigue,UMLS:C0026266,UMLS:C0015672
660,,,UMLS:C0042963_vomiting,UMLS:C0026266,UMLS:C0042963
661,,,UMLS:C0030193_pain,UMLS:C0026266,UMLS:C0030193
662,,,UMLS:C0018800_cardiomegaly,UMLS:C0026266,UMLS:C0018800
663,,,UMLS:C0235710_chest discomfort,UMLS:C0026266,UMLS:C0235710
664,UMLS:C0003864_arthritis,179.0,UMLS:C0030193_pain,UMLS:C0003864,UMLS:C0030193
665,,,UMLS:C0578150_hemodynamically stable,UMLS:C0003864,UMLS:C0578150
666,,,UMLS:C0917801_sleeplessness,UMLS:C0003864,UMLS:C0917801
